mass,mass_balance,mass_balance_trend
0.0000,0.0000,0.0000
0.1248,0.1248,0.0624
0.2477,0.1230,0.0826
0.3689,0.1212,0.0922
0.4885,0.1195,0.0977
0.6064,0.1179,0.1011
0.7226,0.1162,0.1032
0.8371,0.1145,0.1046
0.9496,0.1125,0.1055
1.0597,0.1101,0.1060
1.1676,0.1079,0.1061
1.2725,0.1049,0.1060
1.3736,0.1012,0.1057
1.4711,0.0975,0.1051
1.5646,0.0935,0.1043
1.6538,0.0892,0.1034
1.7385,0.0847,0.1023
1.8183,0.0798,0.1010
1.8946,0.0763,0.0997
1.9662,0.0716,0.0983
2.0339,0.0676,0.0969
2.0981,0.0642,0.0954
2.1580,0.0600,0.0938
2.2148,0.0567,0.0923
2.2690,0.0542,0.0908
2.3200,0.0510,0.0892
2.3678,0.0478,0.0877
2.4131,0.0453,0.0862
2.4570,0.0439,0.0847
2.4983,0.0413,0.0833
2.5370,0.0387,0.0818
2.5737,0.0368,0.0804
2.6092,0.0354,0.0791
2.6429,0.0338,0.0777
2.6745,0.0315,0.0764
2.7050,0.0305,0.0751
2.7351,0.0302,0.0739
2.7639,0.0288,0.0727
2.7910,0.0271,0.0716
2.8177,0.0267,0.0704
2.8431,0.0253,0.0693
2.8675,0.0245,0.0683
2.8913,0.0238,0.0672
2.9146,0.0233,0.0662
2.9373,0.0227,0.0653
2.9595,0.0222,0.0643
2.9804,0.0209,0.0634
3.0014,0.0210,0.0625
3.0216,0.0203,0.0617
3.0413,0.0196,0.0608
3.0607,0.0194,0.0600
3.0790,0.0183,0.0592
3.0981,0.0191,0.0585
3.1164,0.0183,0.0577
3.1338,0.0174,0.0570
3.1511,0.0173,0.0563
3.1682,0.0171,0.0556
3.1847,0.0165,0.0549
3.2010,0.0163,0.0543
3.2169,0.0160,0.0536
3.2323,0.0153,0.0530
3.2477,0.0154,0.0524
3.2614,0.0137,0.0518
3.2756,0.0142,0.0512
3.2895,0.0138,0.0506
3.3036,0.0142,0.0501
3.3174,0.0137,0.0495
3.3305,0.0132,0.0490
3.3444,0.0139,0.0485
3.3575,0.0132,0.0480
3.3701,0.0126,0.0475
3.3826,0.0125,0.0470
3.3944,0.0117,0.0465
3.4064,0.0120,0.0460
3.4180,0.0116,0.0456
3.4294,0.0113,0.0451
3.4409,0.0115,0.0447
3.4525,0.0117,0.0443
3.4633,0.0108,0.0438
3.4740,0.0106,0.0434
3.4841,0.0102,0.0430
3.4947,0.0106,0.0426
3.5043,0.0096,0.0422
3.5138,0.0095,0.0418
3.5236,0.0098,0.0415
3.5332,0.0096,0.0411
3.5419,0.0087,0.0407
3.5505,0.0086,0.0403
3.5592,0.0087,0.0400
3.5679,0.0087,0.0396
3.5763,0.0084,0.0393
3.5845,0.0082,0.0390
3.5928,0.0082,0.0386
3.6015,0.0087,0.0383
3.6095,0.0080,0.0380
3.6172,0.0078,0.0377
3.6244,0.0072,0.0374
3.6317,0.0073,0.0371
3.6392,0.0075,0.0368
